Pipeline Cycles|Pipeline Sum Thread Cycles|Pipeline Time|CPU Time|CPU Join Time|CPU ExpOp Time|GPU Probe Time|CPU/GPU Time|Pre Filter Tuples|Filtered Tuples|Pre Join Tuples|Pos Join Tuples|CPUBloomFilter|FilterSize|Slowdown|CPUMorselSize|GPUMorselSize|Selectivity|Streams|TuplesGpuProbe|TuplesGpuConsume
2.5584e+09|2.52876e+10|0.772465|1.46475e+10|7.45153e+09|0|1.10937e+10|7.55435e+09|1073741824|11454093|0|22191511|1|536870912|0|16384|16777216|1|9|881896106|881896106
4.37692e+09|4.30545e+10|1.32153|3.01854e+10|3.62553e+10|0|2.21406e+10|7.78514e+09|816736938|8713642|0|276455945|0|536870912|0|16384|16777216|1|10|816736938|816736938
3.91353e+09|3.82907e+10|1.18162|2.61685e+10|8.85659e+09|0|1.89644e+10|7.74476e+09|1073741824|11454093|0|22191511|1|536870912|0|16384|16777216|1|10|792221013|792221013
2.63209e+09|2.5991e+10|0.794715|1.5043e+10|2.11011e+10|0|1.24247e+10|7.79491e+09|922763264|9843560|0|171559538|0|536870912|0|16384|16777216|1|10|922763264|922763264
2.46846e+09|2.43678e+10|0.745309|1.42337e+10|7.6511e+09|0|1.18429e+10|7.57937e+09|1073741824|11454093|0|22191511|1|536870912|0|16384|16777216|1|10|886620160|886620160
4.37493e+09|4.28009e+10|1.32093|2.9528e+10|3.57645e+10|0|2.34645e+10|7.91842e+09|821166080|8759522|0|272072684|0|536870912|0|16384|16777216|1|11|821166080|821166080
3.86584e+09|3.7811e+10|1.16722|2.54644e+10|8.79564e+09|0|2.04596e+10|7.71172e+09|1073741824|11454093|0|22191511|1|536870912|0|16384|16777216|1|11|797584042|797584042
2.65787e+09|2.63244e+10|0.802496|1.5439e+10|2.13823e+10|0|1.40856e+10|7.71716e+09|916608341|9779340|0|177650241|0|536870912|0|16384|16777216|1|11|916608341|916608341
2.55178e+09|2.52099e+10|0.770465|1.46531e+10|7.3757e+09|0|1.31046e+10|7.40721e+09|1073741824|11454093|0|22191511|1|536870912|0|16384|16777216|1|11|881420970|881420970
4.37382e+09|4.28365e+10|1.3206|3.11089e+10|3.69461e+10|0|2.63825e+10|7.37264e+09|810429098|8645350|0|282695493|0|536870912|0|16384|16777216|1|12|810429098|810429098
3.99471e+09|3.89406e+10|1.20613|2.67345e+10|8.72514e+09|0|2.29952e+10|7.55387e+09|1073741824|11454093|0|22191511|1|536870912|0|16384|16777216|1|12|788529152|788529152
2.66655e+09|2.62601e+10|0.80512|1.52282e+10|2.13244e+10|0|1.45664e+10|7.85119e+09|922746880|9845342|0|171577704|0|536870912|0|16384|16777216|1|12|922746880|922746880
2.53041e+09|2.4939e+10|0.764012|1.42843e+10|7.28096e+09|0|1.38772e+10|7.32011e+09|1073741824|11454093|0|22191511|1|536870912|0|16384|16777216|1|12|885320362|885320362
4.43951e+09|4.33233e+10|1.34043|3.05799e+10|3.65197e+10|0|2.73882e+10|7.62978e+09|813864277|8683241|0|279298206|0|536870912|0|16384|16777216|1|13|813864277|813864277
3.93689e+09|3.82855e+10|1.18867|2.65387e+10|8.56162e+09|0|2.35646e+10|7.34235e+09|1073741824|11454093|0|22191511|1|536870912|0|16384|16777216|1|13|788529152|788529152
2.58425e+09|2.54829e+10|0.780268|1.51764e+10|2.12121e+10|0|1.56352e+10|7.64746e+09|921709226|9833099|0|172603114|0|536870912|0|16384|16777216|1|13|921709226|921709226
2.56782e+09|2.52771e+10|0.775309|1.51742e+10|7.50301e+09|0|1.54675e+10|7.3895e+09|1073741824|11454093|0|22191511|1|536870912|0|16384|16777216|1|13|873709568|873709568
4.43867e+09|4.3222e+10|1.34018|2.98825e+10|3.61171e+10|0|2.89191e+10|7.95265e+09|820532565|8753606|0|272700282|0|536870912|0|16384|16777216|1|14|820532565|820532565
3.92826e+09|3.81224e+10|1.18607|2.58563e+10|8.80813e+09|0|2.51274e+10|7.67266e+09|1073741824|11454093|0|22191511|1|536870912|0|16384|16777216|1|14|795880106|795880106
2.74268e+09|2.69943e+10|0.828105|1.56105e+10|2.17893e+10|0|1.73458e+10|7.95653e+09|917979136|9793725|0|176293831|0|536870912|0|16384|16777216|1|14|917979136|917979136
2.57009e+09|2.52855e+10|0.775992|1.49657e+10|7.28635e+09|0|1.59769e+10|7.25295e+09|1073741824|11454093|0|22191511|1|536870912|0|16384|16777216|1|14|875451733|875451733
