Pipeline Cycles|Pipeline Sum Thread Cycles|Pipeline Time|CPU Time|CPU Join Time|CPU ExpOp Time|GPU Probe Time|CPU/GPU Time|Pre Filter Tuples|Filtered Tuples|Pre Join Tuples|Pos Join Tuples|CPUBloomFilter|FilterSize|Slowdown|CPUMorselSize|GPUMorselSize|Selectivity|Streams|TuplesGpuProbe|TuplesGpuConsume
1.917e+10|1.91009e+11|5.78806|4.30685e+09|1.76799e+11|0|9.05534e+09|1.86326e+11|1073741824|376061056|376061056|375809536|1|536870912|0|16384|16777216|35|8|1056271018|1056271018
1.9295e+10|1.91713e+11|5.8258|4.70294e+09|1.77302e+11|0|1.95648e+10|1.8659e+11|1073741824|376061056|376061056|375809536|1|536870912|0|16384|16777216|35|16|1054927530|1054927530
2.28223e+10|2.2806e+11|6.89081|4.88386e+10|2.04346e+11|0|4.65482e+09|1.78064e+11|1073741824|429725312|429725312|429496704|1|536870912|0|16384|16777216|40|1|885566122|885566122
2.16335e+10|2.16074e+11|6.53186|1.42646e+09|2.00874e+11|0|5.61202e+09|2.14302e+11|1073741824|429725312|429725312|429496704|1|536870912|0|16384|16777216|40|2|1069312682|1069312682
2.17024e+10|2.16602e+11|6.55265|2.35729e+09|2.01269e+11|0|6.23956e+09|2.13892e+11|1073741824|429725312|429725312|429496704|1|536870912|0|16384|16777216|40|4|1065243989|1065243989
2.17048e+10|2.16466e+11|6.55338|3.37143e+09|2.00958e+11|0|7.39529e+09|2.12728e+11|1073741824|429725312|429725312|429496704|1|536870912|0|16384|16777216|40|6|1061732352|1061732352
2.17469e+10|2.16779e+11|6.56609|4.30556e+09|2.0117e+11|0|9.06126e+09|2.12092e+11|1073741824|429725312|429725312|429496704|1|536870912|0|16384|16777216|40|8|1057789269|1057789269
2.18308e+10|2.1714e+11|6.59144|4.67775e+09|2.01361e+11|0|1.92223e+10|2.12046e+11|1073741824|429725312|429725312|429496704|1|536870912|0|16384|16777216|40|16|1056811690|1056811690
2.60071e+10|2.59937e+11|7.85238|4.98209e+10|2.35014e+11|0|4.70017e+09|2.09054e+11|1073741824|483398272|483398272|483183744|1|536870912|0|16384|16777216|45|1|901190997|901190997
2.41522e+10|2.4129e+11|7.29233|1.39595e+09|2.24646e+11|0|5.70255e+09|2.39553e+11|1073741824|483398272|483398272|483183744|1|536870912|0|16384|16777216|45|2|1069410986|1069410986
2.42119e+10|2.41744e+11|7.31037|2.36557e+09|2.24984e+11|0|6.33478e+09|2.39027e+11|1073741824|483398272|483398272|483183744|1|536870912|0|16384|16777216|45|4|1066308949|1066308949
2.42366e+10|2.41817e+11|7.31783|3.40219e+09|2.24927e+11|0|7.51046e+09|2.38045e+11|1073741824|483398272|483398272|483183744|1|536870912|0|16384|16777216|45|6|1062540629|1062540629
2.42368e+10|2.41671e+11|7.31786|4.40524e+09|2.24646e+11|0|9.16727e+09|2.3688e+11|1073741824|483398272|483398272|483183744|1|536870912|0|16384|16777216|45|8|1059067221|1059067221
